1.0,1.0,1.0,1.0,Loops/1.wav
1.0,1.0,1.0,1.0,Loops/2.wav
1.0,1.0,1.0,1.0,Loops/3.wav
1.0,1.0,1.0,1.0,Loops/4.wav
1.0,1.0,1.0,1.0,Loops/5.wav
1.0,1.0,1.0,1.0,Loops/5.wav
1.0,1.0,1.0,1.0,Loops/1.wav
1.0,1.0,1.0,1.0,Loops/2.wav
1.0,1.0,1.0,1.0,Loops/3.wav
1.0,1.0,1.0,1.0,Loops/4.wav
1.0,1.0,1.0,1.0,Loops/5.wav
1.0,1.0,1.0,1.0,Loops/5.wav
0,0,0,0.015625,Loops/5.wav
0.007813,0.992188,0.7421878333333334,0,Loops/1.wav
0,0.023438,0.006510750000000003,0,Loops/2.wav
0.539063,0.992188,0.8823788333333336,0.015625,Loops/1.wav
0,0.015625,0.0035809166666666667,0,Loops/2.wav
0,0.023438,0.0027174782608695653,0,Loops/2.wav
0,0.015625,0.004883083333333334,0,Loops/2.wav
0,0.992188,0.34765661111111107,0.007813,Loops/1.wav
